Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
29805     	0.0686         	0.032391       	3050000   	0.1000    	132.30         
29847     	0.0785         	0.036338       	3060000   	0.1000    	175.40         
29877     	0.1277         	0.035044       	3070000   	0.1000    	173.80         
29909     	0.0834         	0.036759       	3080000   	0.1000    	139.80         
29944     	0.0796         	0.035928       	3090000   	0.1000    	203.40         
29981     	0.0871         	0.035159       	3100000   	0.1000    	177.80         
30017     	0.0890         	0.037956       	3110000   	0.1000    	195.40         
30055     	0.0965         	0.041175       	3120000   	0.1000    	172.30         
30099     	0.0659         	0.039922       	3130000   	0.1000    	161.30         
30138     	0.0682         	0.037847       	3140000   	0.1000    	204.90         
30175     	0.0666         	0.037575       	3150000   	0.1000    	154.70         
30210     	0.0948         	0.039753       	3160000   	0.1000    	182.20         
30247     	0.0938         	0.040216       	3170000   	0.1000    	175.00         
30284     	0.0683         	0.037778       	3180000   	0.1000    	129.60         
30324     	0.0856         	0.037928       	3190000   	0.1000    	187.50         
30362     	0.0766         	0.040475       	3200000   	0.1000    	145.10         
30403     	0.0875         	0.038566       	3210000   	0.1000    	230.20         
30436     	0.0885         	0.040656       	3220000   	0.1000    	172.00         
30475     	0.0964         	0.040744       	3230000   	0.1000    	165.20         
30517     	0.0801         	0.042109       	3240000   	0.1000    	193.00         
30552     	0.1173         	0.039772       	3250000   	0.1000    	126.70         
30588     	0.0855         	0.039950       	3260000   	0.1000    	215.90         
30621     	0.1182         	0.043075       	3270000   	0.1000    	209.20         
30657     	0.0868         	0.041731       	3280000   	0.1000    	220.40         
30699     	0.0828         	0.039303       	3290000   	0.1000    	174.00         
30734     	0.0923         	0.044484       	3300000   	0.1000    	201.10         
30766     	0.0943         	0.040266       	3310000   	0.1000    	212.90         
30801     	0.1298         	0.041494       	3320000   	0.1000    	220.50         
30833     	0.0862         	0.044966       	3330000   	0.1000    	200.90         
30872     	0.0837         	0.043394       	3340000   	0.1000    	171.00         
30909     	0.0984         	0.044097       	3350000   	0.1000    	205.00         
30948     	0.1008         	0.043969       	3360000   	0.1000    	193.90         
30981     	0.0858         	0.043169       	3370000   	0.1000    	194.00         
31017     	0.0856         	0.045578       	3380000   	0.1000    	216.00         
31061     	0.0792         	0.046775       	3390000   	0.1000    	205.70         
31092     	0.0929         	0.046884       	3400000   	0.1000    	163.40         
31129     	0.1136         	0.047044       	3410000   	0.1000    	185.00         
31165     	0.1018         	0.047741       	3420000   	0.1000    	205.10         
31201     	0.0657         	0.052212       	3430000   	0.1000    	215.40         
31242     	0.0963         	0.049441       	3440000   	0.1000    	164.90         
31280     	0.0815         	0.050944       	3450000   	0.1000    	198.80         
31315     	0.1157         	0.052153       	3460000   	0.1000    	141.60         
31361     	0.0787         	0.053331       	3470000   	0.1000    	214.80         
31397     	0.0938         	0.049238       	3480000   	0.1000    	181.80         
31433     	0.0882         	0.049562       	3490000   	0.1000    	190.10         
31470     	0.0861         	0.049309       	3500000   	0.1000    	102.00         
31506     	0.0839         	0.049812       	3510000   	0.1000    	191.40         
31543     	0.0825         	0.048419       	3520000   	0.1000    	196.00         
31581     	0.0861         	0.047169       	3530000   	0.1000    	184.10         
31619     	0.0992         	0.047181       	3540000   	0.1000    	167.50         
31653     	0.0834         	0.050356       	3550000   	0.1000    	187.60         
31686     	0.0930         	0.049259       	3560000   	0.1000    	184.90         
31717     	0.0970         	0.050144       	3570000   	0.1000    	200.30         
31760     	0.0773         	0.050600       	3580000   	0.1000    	174.00         
31793     	0.0921         	0.053781       	3590000   	0.1000    	192.30         
31836     	0.0933         	0.051794       	3600000   	0.1000    	177.30         
31872     	0.1077         	0.055225       	3610000   	0.1000    	178.50         
31912     	0.0699         	0.053953       	3620000   	0.1000    	227.50         
31946     	0.1301         	0.054162       	3630000   	0.1000    	181.30         
31979     	0.1130         	0.054934       	3640000   	0.1000    	219.80         
32013     	0.0874         	0.055669       	3650000   	0.1000    	208.80         
32056     	0.0650         	0.053875       	3660000   	0.1000    	215.20         
32091     	0.1196         	0.053622       	3670000   	0.1000    	234.10         
32127     	0.0642         	0.060353       	3680000   	0.1000    	178.90         
32162     	0.1216         	0.054497       	3690000   	0.1000    	229.70         
32197     	0.0942         	0.057297       	3700000   	0.1000    	210.60         
32234     	0.1028         	0.057222       	3710000   	0.1000    	185.50         
32273     	0.0637         	0.057584       	3720000   	0.1000    	151.40         
32309     	0.0799         	0.060134       	3730000   	0.1000    	182.80         
32348     	0.0817         	0.057881       	3740000   	0.1000    	176.50         
32383     	0.0908         	0.056634       	3750000   	0.1000    	207.50         
32419     	0.1138         	0.054794       	3760000   	0.1000    	145.20         
32457     	0.0749         	0.056288       	3770000   	0.1000    	213.40         
32498     	0.1096         	0.055359       	3780000   	0.1000    	193.40         
32538     	0.0648         	0.060812       	3790000   	0.1000    	180.40         
32574     	0.0771         	0.060678       	3800000   	0.1000    	194.90         
